Date,Price
15.12.2022,81,32
14.12.2022,82,75
13.12.2022,80,86
12.12.2022,78,34
09.12.2022,76,6
08.12.2022,76,59
07.12.2022,77,59
06.12.2022,79,67
05.12.2022,82,66
02.12.2022,85,55
01.12.2022,86,88
30.11.2022,85,43
29.11.2022,83,03
28.11.2022,83,19
25.11.2022,83,63
24.11.2022,85,34
23.11.2022,85,41
22.11.2022,88,36
21.11.2022,87,45
18.11.2022,87,62
17.11.2022,89,78
16.11.2022,92,86
15.11.2022,93,86
14.11.2022,93,14
11.11.2022,95,99
10.11.2022,93,67
09.11.2022,92,65
08.11.2022,95,36
07.11.2022,97,92
04.11.2022,98,57
03.11.2022,94,67
02.11.2022,96,16
01.11.2022,94,65
31.10.2022,94,83
28.10.2022,95,77
27.10.2022,96,96
26.10.2022,95,69
25.10.2022,91,74
24.10.2022,91,21
21.10.2022,91,34
20.10.2022,90,45
19.10.2022,90,56
18.10.2022,88,6
17.10.2022,90,18
14.10.2022,90,15
13.10.2022,94,57
12.10.2022,92,45
11.10.2022,94,29
10.10.2022,96,19
07.10.2022,97,92
06.10.2022,94,42
05.10.2022,93,37
04.10.2022,91,8
03.10.2022,88,86
30.09.2022,87,96
29.09.2022,88,49
28.09.2022,89,32
27.09.2022,84,87
26.09.2022,82,86
23.09.2022,85,03
22.09.2022,89,53
21.09.2022,88,8
20.09.2022,89,4
19.09.2022,92
16.09.2022,91,35
15.09.2022,90,84
14.09.2022,94,1
13.09.2022,93,17
12.09.2022,94
09.09.2022,92,84
08.09.2022,88,62
07.09.2022,88
06.09.2022,92,83
05.09.2022,95,74
02.09.2022,93,02
01.09.2022,92,36
31.08.2022,96,49
30.08.2022,97,84
29.08.2022,102,93
26.08.2022,99,01
25.08.2022,98,46
24.08.2022,100,34
23.08.2022,99,17
22.08.2022,95,81
19.08.2022,96,72
18.08.2022,96,59
17.08.2022,93,65
16.08.2022,92,34
15.08.2022,95,1
12.08.2022,98,15
11.08.2022,99,6
10.08.2022,97,4
09.08.2022,96,31
08.08.2022,96,65
05.08.2022,94,92
04.08.2022,94,12
03.08.2022,96,78
02.08.2022,100,54
01.08.2022,100,03
29.07.2022,110,01
28.07.2022,107,14
27.07.2022,106,62
26.07.2022,104,4
25.07.2022,105,15
22.07.2022,103,2
21.07.2022,103,86
20.07.2022,106,92
19.07.2022,107,35
18.07.2022,106,27
15.07.2022,101,16
14.07.2022,99,1
13.07.2022,99,57
12.07.2022,99,49
11.07.2022,107,1
08.07.2022,107,02
07.07.2022,104,65
06.07.2022,100,69
05.07.2022,102,77
04.07.2022,113,5
01.07.2022,111,63
30.06.2022,114,81
29.06.2022,116,26
28.06.2022,117,98
27.06.2022,115,09
24.06.2022,113,12
23.06.2022,110,05
22.06.2022,111,74
21.06.2022,114,65
20.06.2022,114,13
17.06.2022,113,12
16.06.2022,119,81
15.06.2022,118,51
14.06.2022,121,17
13.06.2022,122,27
10.06.2022,122,01
09.06.2022,123,07
08.06.2022,123,58
07.06.2022,120,57
06.06.2022,119,51
03.06.2022,119,72
02.06.2022,117,61
01.06.2022,116,29
31.05.2022,122,84
30.05.2022,121,67
27.05.2022,119,43
26.05.2022,117,4
25.05.2022,114,03
24.05.2022,113,56
23.05.2022,113,42
20.05.2022,112,55
19.05.2022,112,04
18.05.2022,109,11
17.05.2022,111,93
16.05.2022,114,24
13.05.2022,111,55
12.05.2022,107,45
11.05.2022,107,51
10.05.2022,102,46
09.05.2022,105,94
06.05.2022,112,39
05.05.2022,110,9
04.05.2022,110,14
03.05.2022,104,97
02.05.2022,107,58
29.04.2022,109,34
28.04.2022,107,59
27.04.2022,105,32
26.04.2022,104,99
25.04.2022,102,32
22.04.2022,106,65
21.04.2022,108,33
20.04.2022,106,8
19.04.2022,107,25
18.04.2022,113,16
14.04.2022,111,7
13.04.2022,108,78
12.04.2022,104,64
11.04.2022,98,48
08.04.2022,102,78
07.04.2022,100,58
06.04.2022,101,07
05.04.2022,106,64
04.04.2022,107,53
01.04.2022,104,39
31.03.2022,107,91
30.03.2022,113,45
29.03.2022,110,23
28.03.2022,112,48
25.03.2022,120,65
24.03.2022,119,03
23.03.2022,121,6
22.03.2022,115,48
21.03.2022,115,62
18.03.2022,107,93
17.03.2022,106,64
16.03.2022,98,02
15.03.2022,99,91
14.03.2022,106,9
11.03.2022,112,67
10.03.2022,109,33
09.03.2022,111,14
08.03.2022,127,98
07.03.2022,123,21
04.03.2022,118,11
03.03.2022,110,46
02.03.2022,112,93
01.03.2022,104,97
28.02.2022,100,99
25.02.2022,97,93
24.02.2022,99,08
23.02.2022,96,84
22.02.2022,96,84
21.02.2022,95,39
18.02.2022,93,54
17.02.2022,92,97
16.02.2022,94,81
15.02.2022,93,28
14.02.2022,96,48
11.02.2022,94,44
10.02.2022,91,41
09.02.2022,91,55
08.02.2022,90,78
07.02.2022,92,69
04.02.2022,93,27
03.02.2022,91,11
02.02.2022,89,47
01.02.2022,89,16
31.01.2022,91,21
28.01.2022,90,03
27.01.2022,89,34
26.01.2022,89,96
25.01.2022,88,2
24.01.2022,86,27
21.01.2022,87,89
20.01.2022,88,38
19.01.2022,88,44
18.01.2022,87,51
17.01.2022,86,48
14.01.2022,86,06
13.01.2022,84,47
12.01.2022,84,67
11.01.2022,83,72
10.01.2022,80,87
07.01.2022,81,75
06.01.2022,81,99
05.01.2022,80,8
04.01.2022,80
03.01.2022,78,98
13.01.2016,30,31
12.01.2016,30,86
11.01.2016,31,55
